#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
50,Kuwait,"143,574",+314,884,+2,"138,674",+540,"4,016",84,"33,410",206,"1,118,620","260,303","4,297,376",Asia,30,"4,861",4
51,Costa Rica,"142,505","+1,165","1,757",+18,"91,424","+3,198","49,324",224,"27,866",344,"398,784","77,979","5,113,966",North America,36,"2,911",13
52,Belarus,"141,609","+1,701","1,181",+7,"118,924","+1,729","21,504",,"14,988",125,"3,335,788","353,069","9,447,986",Europe,67,"8,000",3
53,Qatar,"139,477",+221,239,,"136,741",+228,"2,497",29,"49,675",85,"1,125,668","400,907","2,807,805",Asia,20,"11,748",2
54,Croatia,"139,415","+4,534","1,964",+48,"113,509","+3,154","23,942",258,"34,051",480,"780,257","190,571","4,094,320",Europe,29,"2,085",5
55,Armenia,"138,508","+1,277","2,254",+26,"113,228","+1,433","23,026",,"46,705",760,"519,445","175,155","2,965,622",Asia,21,"1,316",6
56,Kazakhstan,"133,887",+769,"1,990",,"118,004",+642,"13,893",221,"7,094",105,"4,206,738","222,906","18,872,287",Asia,141,"9,484",4
57,Azerbaijan,"133,733","+4,189","1,510",+40,"81,234","+2,072","50,989",,"13,139",148,"1,781,218","175,004","10,178,176",Asia,76,"6,741",6
58,Lebanon,"132,817","+1,520","1,067",+12,"84,142","+1,108","47,608",370,"19,497",157,"1,660,610","243,768","6,812,247",Asia,51,"6,384",4
59,Oman,"124,329",+184,"1,435",+5,"115,866",+253,"7,028",106,"24,089",278,"571,472","110,725","5,161,164",Asia,42,"3,597",9
60,Guatemala,"124,053",+593,"4,209",+18,"112,719",+538,"7,125",5,"6,871",233,"547,398","30,317","18,055,711",North America,146,"4,290",33
61,Egypt,"117,156",+432,"6,713",+19,"103,082",+133,"7,361",46,"1,136",65,"1,000,000","9,695","103,150,307",Africa,880,"15,366",103
62,Moldova,"112,307","+1,727","2,363",+20,"97,549",+838,"12,395",302,"27,868",586,"472,705","117,299","4,029,922",Europe,36,"1,705",9
63,Ethiopia,"111,579",+595,"1,724",+9,"77,385","+1,318","32,470",331,961,15,"1,652,517","14,226","116,160,214",Africa,"1,041","67,378",70
