#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
65,Ethiopia,"117,242",+473,"1,809",+3,"95,225","+1,335","20,208",297,"1,009",16,"1,711,099","14,720","116,246,058",Africa,992,"64,260",68
66,Honduras,"114,359",+316,"2,975",+1,"51,478",+68,"59,906",112,"11,463",298,"284,003","28,468","9,976,130",North America,87,"3,353",35
67,Denmark,"113,095","+3,337",950,+9,"80,564","+1,170","31,581",61,"19,494",164,"8,664,885","1,493,544","5,801,561",Europe,51,"6,107",1
68,Tunisia,"111,361",,"3,894",,"84,741",,"22,726",280,"9,378",328,"512,738","43,178","11,875,036",Africa,107,"3,050",23
69,Palestine,"111,102","+1,364","1,000",+22,"87,057","+1,947","23,045",95,"21,553",194,"778,959","151,110","5,154,897",Asia,46,"5,155",7
70,Myanmar,"109,512","+1,170","2,292",+24,"88,131","+1,336","19,089",,"2,007",42,"1,456,866","26,694","54,576,729",Asia,498,"23,812",37
71,Venezuela,"108,125",+339,960,+6,"103,037",+748,"4,128",46,"3,807",34,"2,347,543","82,663","28,398,787",South America,263,"29,582",12
72,Bosnia and Herzegovina,"101,461",+344,"3,391",+55,"66,486",+728,"31,584",,"31,015","1,037","466,426","142,578","3,271,385",Europe,32,965,7
73,Slovenia,"96,757",+443,"2,107",+44,"73,760",+383,"20,890",207,"46,539","1,013","594,115","285,760","2,079,069",Europe,21,987,3
74,Lithuania,"95,020","+1,920",825,+10,"38,957",+64,"55,238",191,"35,132",305,"1,421,759","525,676","2,704,629",Europe,28,"3,278",2
75,Paraguay,"94,223",+641,"1,971",+18,"67,242",+699,"25,010",160,"13,137",275,"504,284","70,309","7,172,444",South America,76,"3,639",14
76,Algeria,"92,597",+495,"2,609",+13,"60,888",+431,"29,100",46,"2,094",59,,,"44,209,866",Africa,477,"16,945",
77,Kenya,"92,055",+163,"1,593",+6,"73,452",+424,"17,010",49,"1,695",29,"973,805","17,932","54,306,077",Africa,590,"34,090",56
78,Libya,"91,357",+578,"1,314",+15,"61,453",+558,"28,590",,"13,214",190,"487,044","70,445","6,913,802",Africa,76,"5,262",14
79,Bahrain,"89,268",+125,348,,"87,332",+150,"1,588",8,"51,661",201,"2,202,876","1,274,843","1,727,959",Asia,19,"4,965",1
80,Malaysia,"84,846","+1,371",419,+4,"70,597","+1,204","13,830",114,"2,606",13,"2,960,653","90,944","32,554,794",Asia,384,"77,696",11
81,Kyrgyzstan,"77,674",+318,"1,312",+5,"70,450",+258,"5,912",94,"11,817",200,"548,077","83,383","6,573,040",Asia,85,"5,010",12
82,Ireland,"76,449",+264,"2,126",+2,"23,364",,"50,959",34,"15,404",428,"2,122,513","427,673","4,962,933",Europe,65,"2,334",2
83,Uzbekistan,"75,094",+138,612,,"72,368",+125,"2,114",176,"2,229",18,"1,377,915","40,900","33,689,711",Asia,449,"55,049",24
84,North Macedonia,"73,851",+213,"2,147",+26,"50,046",+632,"21,658",138,"35,448","1,031","365,599","175,487","2,083,335",Europe,28,970,6
85,Nigeria,"73,374",+199,"1,197",,"66,314",+224,"5,863",10,352,6,"848,194","4,069","208,440,528",Africa,"2,841","174,136",246
86,Singapore,"58,325",+5,29,,"58,210",+2,86,,"9,934",5,"4,834,370","823,379","5,871,378",Asia,101,"202,461",1
87,Ghana,"53,160",+227,327,,"51,761",+85,"1,072",14,"1,695",10,"622,086","19,833","31,366,106",Africa,590,"95,921",50
88,Afghanistan,"49,484",+211,"1,975",+4,"38,410",+26,"9,099",93,"1,258",50,"170,855","4,345","39,324,007",Asia,795,"19,911",230
89,Albania,"49,191",+661,"1,016",+13,"25,325",+505,"22,850",39,"17,102",353,"219,385","76,272","2,876,350",Europe,58,"2,831",13
90,S. Korea,"43,484",+718,587,+7,"32,102",+288,"10,795",185,848,11,"3,397,039","66,233","51,289,473",Asia,"1,180","87,376",15
91,Luxembourg,"41,900",+182,410,+8,"33,367","+1,689","8,123",50,"66,445",650,"1,519,424","2,409,489","630,600",Europe,15,"1,538",0
92,El Salvador,"41,880",+249,"1,205",+5,"38,087",+199,"2,588",74,"6,442",185,"584,631","89,927","6,501,203",North America,155,"5,395",11
93,Montenegro,"41,803",+377,585,+3,"31,138",+645,"10,080",68,"66,554",931,"155,492","247,558","628,103",Europe,15,"1,074",4
94,Norway,"41,334",+331,393,+6,"34,782",+319,"6,159",35,"7,597",72,"2,500,706","459,636","5,440,623",Europe,132,"13,844",2
95,Sri Lanka,"33,478",+688,154,+2,"24,309",+516,"9,015",,"1,560",7,"1,017,682","47,435","21,454,423",Asia,641,"139,314",21
96,Finland,"31,110",+300,461,+8,"20,000",,"10,649",28,"5,611",83,"2,169,813","391,333","5,544,676",Europe,178,"12,027",3
97,Australia,"28,039",+8,908,,"25,684",+9,"1,447",1,"1,094",35,"10,400,623","405,724","25,634,726",Australia/Oceania,914,"28,232",2
98,Uganda,"27,766",+234,224,+3,"9,921",+95,"17,621",,599,5,"683,236","14,729","46,387,385",Africa,"1,671","207,087",68
99,Latvia,"25,885",+210,352,+3,"16,869",+91,"8,664",37,"13,794",188,"731,547","389,842","1,876,523",Europe,72,"5,331",3
100,Cameroon,"25,214",+71,443,,"23,851",,920,50,939,17,"149,000","5,551","26,843,421",Africa,"1,065","60,595",180
101,Ivory Coast,"21,705",+25,133,,"21,318",+20,254,,814,5,"235,378","8,825","26,672,451",Africa,"1,229","200,545",113
102,Sudan,"21,591",+205,"1,355",+8,"12,452",+139,"7,784",,487,31,,,"44,310,953",Africa,"2,052","32,702",
103,Estonia,"18,381",+327,154,+5,"11,121",+84,"7,106",24,"13,852",116,"548,666","413,481","1,326,945",Europe,72,"8,617",2
104,Zambia,"18,322",+48,367,,"17,409",+21,546,,984,20,"489,926","26,319","18,615,121",Africa,"1,016","50,722",38
105,Madagascar,"17,587",,259,,"16,992",,336,16,628,9,"96,565","3,447","28,011,337",Africa,"1,593","108,152",290
106,Senegal,"17,146",+71,350,+1,"16,159",+65,637,21,"1,012",21,"246,147","14,529","16,942,349",Africa,988,"48,407",69
107,Mozambique,"17,002",+48,143,+1,"15,006",+188,"1,853",,537,5,"249,302","7,877","31,648,598",Africa,"1,861","221,319",127
108,Namibia,"16,726",+190,163,+3,"14,837",+153,"1,726",10,"6,529",64,"177,749","69,386","2,561,756",Africa,153,"15,716",14
109,Angola,"16,277",+89,372,+1,"8,924",+26,"6,981",14,488,11,"171,247","5,139","33,323,947",Africa,"2,047","89,581",195
110,French Polynesia,"15,747",+129,96,+5,"4,842",,"10,809",25,"55,909",341,"26,355","93,573","281,652",Australia/Oceania,18,"2,934",11
111,Cyprus,"15,450",+349,82,+4,"2,057",,"13,311",16,"12,754",68,"666,123","549,888","1,211,379",Asia,78,"14,773",2
112,DRC,"14,513",+52,356,+4,"12,653",+188,"1,504",,160,4,,,"90,781,145",Africa,"6,255","255,003",
113,Guinea,"13,457",+37,80,+1,"12,713",+56,664,24,"1,012",6,"85,157","6,406","13,292,868",Africa,988,"166,161",156
114,Maldives,"13,379",+11,48,,"12,731",+25,600,12,"24,555",88,"271,346","498,010","544,860",Asia,41,"11,351",2
115,Botswana,"12,873",+372,38,+1,"10,456",+516,"2,379",1,"5,425",16,"489,264","206,171","2,373,102",Africa,184,"62,450",5
116,Tajikistan,"12,741",+37,88,,"12,172",+39,481,,"1,322",9,,,"9,634,329",Asia,756,"109,481",
117,French Guiana,"11,855",+55,71,,"9,995",,"1,789",,"39,234",235,"89,832","297,295","302,165",South America,25,"4,256",3
118,Jamaica,"11,792",+82,273,,"8,098",+144,"3,421",14,"3,974",92,"126,540","42,648","2,967,093",North America,252,"10,868",23
119,Cabo Verde,"11,361",+4,110,,"11,036",+74,215,23,"20,333",197,"107,404","192,225","558,741",Africa,49,"5,079",5
120,Zimbabwe,"11,358",+112,309,+2,"9,554",+103,"1,495",,759,21,"190,996","12,766","14,961,277",Africa,"1,317","48,418",78
121,Malta,"11,254",+101,174,+5,"9,319",+150,"1,761",18,"25,457",394,"467,407","1,057,283","442,083",Europe,39,"2,541",1
122,Mauritania,"11,135",+164,228,+3,"8,118",+42,"2,789",37,"2,367",48,"121,358","25,795","4,704,621",Africa,423,"20,634",39
123,Uruguay,"10,029",+321,95,+3,"6,593",+235,"3,341",39,"2,883",27,"514,906","147,993","3,479,254",South America,347,"36,624",7
124,Haiti,"9,588",+23,234,,"8,280",+6,"1,074",,836,20,"34,734","3,029","11,465,846",North America,"1,196","48,999",330
125,Cuba,"9,492",+69,137,,"8,484",+50,871,8,838,12,"1,261,754","111,429","11,323,433",North America,"1,193","82,653",9
126,Belize,"9,377",+82,197,+2,"4,414",+93,"4,766",3,"23,390",491,"49,914","124,505","400,899",North America,43,"2,035",8
127,Gabon,"9,351",+21,63,,"9,204",+22,84,5,"4,157",28,"333,996","148,481","2,249,412",Africa,241,"35,705",7
128,Syria,"9,302",+136,530,+12,"4,432",+56,"4,340",,526,30,,,"17,692,206",Asia,"1,902","33,382",
129,Réunion,"8,534",+103,42,+1,"8,037",,455,6,"9,501",47,"48,859","54,394","898,235",Africa,105,"21,387",18
130,Guadeloupe,"8,472",,151,,"2,242",,"6,079",7,"21,172",377,"78,966","197,339","400,155",North America,47,"2,650",5
131,Bahamas,"7,690",+31,163,,"6,070",+1,"1,457",1,"19,470",413,"46,846","118,609","394,960",North America,51,"2,423",8
132,Hong Kong,"7,624",+82,120,+3,"6,266",+64,"1,238",46,"1,013",16,"4,656,410","618,810","7,524,784",Asia,987,"62,707",2
133,Andorra,"7,382",+44,79,,"6,706",+77,597,17,"95,471","1,022","173,151","2,239,350","77,322",Europe,10,979,0
134,Trinidad and Tobago,"6,885",+6,123,+1,"6,180",+35,582,2,"4,912",88,"38,692","27,606","1,401,568",North America,204,"11,395",36
135,Eswatini,"6,825",+57,130,+3,"6,416",+37,279,11,"5,855",112,"63,144","54,171","1,165,645",Africa,171,"8,967",18
