#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
50,Bulgaria,"136,628","+3,568","3,529",+162,"44,875","+2,255","88,224",430,"19,724",509,"950,354","137,197","6,926,939",Europe,51,"1,963",7
51,Costa Rica,"135,742","+1,222","1,679",+5,"83,273",+662,"50,790",211,"26,549",328,"381,490","74,612","5,112,951",North America,38,"3,045",13
52,Armenia,"130,870","+1,785","2,068",+28,"103,055","+2,142","25,747",,"44,131",697,"498,951","168,252","2,965,501",Asia,23,"1,434",6
53,Belarus,"130,012","+1,563","1,128",+9,"108,769","+1,317","20,115",,"13,761",119,"3,158,352","334,286","9,448,053",Europe,73,"8,376",3
54,Kazakhstan,"128,400",+820,"1,990",,"114,821",+474,"11,589",221,"6,805",105,"4,206,738","222,964","18,867,379",Asia,147,"9,481",4
55,Oman,"122,579",,"1,391",,"113,856",,"7,332",121,"23,763",270,"571,472","110,787","5,158,316",Asia,42,"3,708",9
56,Lebanon,"122,200","+1,859",974,+24,"72,152",+916,"49,074",317,"17,937",143,"1,514,824","222,346","6,812,912",Asia,56,"6,995",4
57,Guatemala,"120,685",+696,"4,133",+26,"109,306",+452,"7,246",5,"6,687",229,"523,625","29,012","18,048,457",North America,150,"4,367",34
58,Georgia,"118,690","+3,801","1,124",+39,"98,781","+3,200","18,785",,"29,776",282,"1,133,765","284,434","3,986,034",Asia,34,"3,546",4
59,Croatia,"115,626","+4,009","1,552",+51,"92,349","+2,924","21,725",252,"28,237",379,"713,729","174,298","4,094,871",Europe,35,"2,638",6
60,Egypt,"114,475",+368,"6,596",+11,"102,268",+67,"5,611",46,"1,110",64,"1,000,000","9,699","103,108,055",Africa,901,"15,632",103
61,Ethiopia,"107,669",+560,"1,672",+8,"67,001",+427,"38,996",327,927,14,"1,615,769","13,917","116,097,783",Africa,"1,078","69,436",72
62,Honduras,"106,116",+544,"2,888",+11,"47,006",+185,"56,222",107,"10,646",290,"261,638","26,248","9,967,946",North America,94,"3,452",38
63,Azerbaijan,"106,101","+3,705","1,256",+32,"68,572","+1,609","36,273",,"10,426",123,"1,665,832","163,699","10,176,181",Asia,96,"8,102",6
64,Moldova,"102,894","+1,691","2,229",+20,"90,485","+6,696","10,180",253,"25,531",553,"450,022","111,664","4,030,126",Europe,39,"1,808",9
65,Slovakia,"101,257","+1,953",749,+17,"56,378","+2,831","44,130",219,"18,543",137,"1,045,215","191,406","5,460,722",Europe,54,"7,291",5
66,Venezuela,"101,215",+398,884,+4,"96,072",+403,"4,259",117,"3,564",31,"2,289,071","80,593","28,402,951",South America,281,"32,130",12
67,Greece,"99,306","+2,018","2,001",+99,"9,989",,"87,316",608,"9,547",192,"2,311,870","222,249","10,402,170",Europe,105,"5,198",4
68,Tunisia,"92,475","+1,168","3,034",+51,"67,453",+994,"21,988",290,"7,792",256,"446,820","37,647","11,868,620",Africa,128,"3,912",27
69,Bahrain,"86,347",+162,341,+1,"84,510",+175,"1,496",12,"50,060",198,"2,015,598","1,168,550","1,724,871",Asia,20,"5,058",1
70,Myanmar,"85,205","+1,639","1,846",+36,"64,645","+1,279","18,714",,"1,562",34,"1,096,500","20,098","54,557,825",Asia,640,"29,555",50
71,Bosnia and Herzegovina,"84,252",+924,"2,480",+51,"48,780",+570,"32,992",,"25,746",758,"408,424","124,807","3,272,438",Europe,39,"1,320",8
72,Libya,"80,407",+610,"1,140",+15,"51,585",+671,"27,682",,"11,638",165,"416,602","60,299","6,908,951",Africa,86,"6,060",17
73,Kenya,"80,102",+780,"1,427",+10,"53,526",+552,"25,149",57,"1,477",26,"861,561","15,883","54,244,448",Africa,677,"38,013",63
74,Paraguay,"79,517",+639,"1,704",+13,"56,510",+485,"21,303",125,"11,093",238,"435,667","60,780","7,167,897",South America,90,"4,207",16
75,Algeria,"79,110","+1,085","2,352",+23,"51,334",+622,"25,424",37,"1,791",53,,,"44,168,706",Africa,558,"18,779",
76,Palestine,"78,493","+1,766",680,+15,"61,241",+742,"16,572",57,"15,245",132,"654,061","127,034","5,148,725",Asia,66,"7,572",8
77,Denmark,"75,395","+1,191",811,+9,"59,250","+1,102","15,334",42,"12,998",140,"7,127,052","1,228,695","5,800,505",Europe,77,"7,152",1
78,Uzbekistan,"72,342",+164,607,+2,"69,601",+146,"2,134",201,"2,149",18,"1,377,915","40,931","33,664,520",Asia,465,"55,460",24
79,Ireland,"71,494",+307,"2,036",+3,"23,364",,"46,094",36,"14,414",410,"1,919,657","387,022","4,960,071",Europe,69,"2,436",3
80,Kyrgyzstan,"71,171",+427,"1,251",+6,"62,544",+496,"7,376",133,"10,837",190,"490,518","74,689","6,567,447",Asia,92,"5,250",13
81,Slovenia,"71,073","+1,767","1,245",+46,"49,654","+1,884","20,174",215,"34,185",599,"500,071","240,528","2,079,055",Europe,29,"1,670",4
82,Nigeria,"66,974",+169,"1,169",,"62,585",+92,"3,220",10,322,6,"749,136","3,599","208,174,495",Africa,"3,108","178,079",278
83,Malaysia,"60,752",+935,348,+3,"49,056","+2,555","11,348",110,"1,867",11,"2,596,004","79,795","32,533,267",Asia,536,"93,486",13
84,North Macedonia,"58,608","+1,157","1,630",+30,"36,064","+1,094","20,914",138,"28,132",782,"322,875","154,980","2,083,339",Europe,36,"1,278",6
85,Singapore,"58,195",+5,28,,"58,104",+13,63,1,"9,916",5,"4,448,110","757,900","5,868,993",Asia,101,"209,607",1
86,Lithuania,"53,756","+2,103",449,+17,"12,655",+373,"40,652",117,"19,861",166,"1,303,893","481,748","2,706,586",Europe,50,"6,028",2
87,Ghana,"51,225",,323,,"50,127",,775,17,"1,635",10,"583,545","18,624","31,332,367",Africa,612,"97,004",54
88,Afghanistan,"45,716",+226,"1,737",+12,"36,232",+87,"7,747",93,"1,164",44,"144,617","3,682","39,278,383",Asia,859,"22,613",272
89,El Salvador,"38,228",+170,"1,098",+6,"35,078",+483,"2,052",38,"5,882",169,"540,258","83,123","6,499,508",North America,170,"5,919",12
90,Albania,"35,600",+656,753,+10,"17,352",+321,"17,495",21,"12,376",262,"177,617","61,747","2,876,512",Europe,81,"3,820",16
91,Norway,"34,748",+480,316,,"20,956",,"13,476",33,"6,389",58,"2,224,045","408,950","5,438,425",Europe,157,"17,210",2
92,Montenegro,"33,316",+508,469,+10,"21,721",+492,"11,126",61,"53,043",747,"127,227","202,559","628,098",Europe,19,"1,339",5
93,Luxembourg,"32,873",+773,294,+6,"23,404",+774,"9,175",44,"52,173",467,"1,338,559","2,124,457","630,071",Europe,19,"2,143",0
94,S. Korea,"32,318",+583,515,+2,"26,950",+125,"4,853",78,630,10,"2,988,046","58,261","51,287,190",Asia,"1,587","99,587",17
95,Australia,"27,867",+11,907,,"25,565",+22,"1,395",,"1,088",35,"9,878,139","385,573","25,619,372",Australia/Oceania,919,"28,246",3
96,Cameroon,"24,022",+107,437,,"22,177",,"1,408",52,896,16,"149,000","5,558","26,809,013",Africa,"1,116","61,348",180
97,Finland,"23,148",+496,388,,"16,800",,"5,960",21,"4,175",70,"1,872,653","337,766","5,544,230",Europe,240,"14,289",3
98,Sri Lanka,"22,028",+559,99,+3,"15,816",+369,"6,113",,"1,027",5,"777,610","36,253","21,449,773",Asia,974,"216,664",28
99,Ivory Coast,"21,199",+31,131,,"20,852",+9,216,,796,5,"213,689","8,022","26,638,440",Africa,"1,257","203,347",125
